Código,Movimento,Relevância (1-5),Proposta de tradução
36,Redistribuído por #{tipo_de_distribuicao_redistribuicao} em razão de #{motivo_da_redistribuicao},5,Processo mudou de juiz/vara
861,Processo Arquivado,1,Processo encerrado
246,Arquivado Definitivamente,1,Processo encerrado
245,Arquivado Provisoramente,1,Processo encerrado
970,"Audiência #{tipo_de_audiencia} #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.",1,Foi realizada audiência em {data}
12284,Citação,3,O réu foi comunicado do início do processo
12286,Citação eletrônica,3,O réu foi comunicado do início do processo
12288,Confirmada a citação eletrônica,3,O réu foi comunicado do início do processo
12287,Expedida/certificada a citação eletrônica,3,O réu foi comunicado do início do processo
12285,Citado em Secretaria/Comparecimento Espontâneo,3,O réu foi comunicado do início do processo
12281,Cominicação eletrônica,3,O réu foi comunicado sobre andamento do processo
12283,Confirmada a comunicação eletrônica,3,O réu foi comunicado sobre andamento do processo
12282,Expedida/certificada a comunicação eletrôinica,3,O réu foi comunicado sobre andamento do processo
51,Conclusos #{tipo_de_conclusao},3,Processo está com o juiz para análise ou decisão
12198,Deliberado em Sessão,2,O juiz decidiu durante a audiência
12272,Deliberado em Sessão - declinada a competência,2,O juiz decidiu durante a audiência
60,Expedição de #{tipo_de_documento}.,2,O Juiz (ou o cartório) expediu #{tipo_de_documento}.
12263,Intimação,2,A parte foi avisada sobre uma decisão / passo importante do processo
12264,Intimação eletrônica,2,A parte foi avisada sobre uma decisão / passo importante do processo
12266,Confirmada a intimação eletrônica,2,A parte foi avisada sobre uma decisão / passo importante do processo
12265,Expedida/certificada a intimação eletrônica,2,A parte foi avisada sobre uma decisão / passo importante do processo
12267,Intimado em audiência,2,A parte foi avisada sobre uma decisão / passo importante do processo
12268,Intimado em Secretaria,2,A parte foi avisada sobre uma decisão / passo importante do processo
12142,Alterada a parte,2,Uma das partes mudou.
118,Protocolizada Petição,2,Uma das partes se manifestou. Procure seu advogado
92,Publicado #{ato_publicado} em #{data}.,1,"Um documento foi publicado. Se for a sentença, é a decisão que estava sendo esperada!"
928,Republicado #{ato_publicado} em #{data}.,2,"Um documento foi republicado. É possível que algum problema tenha acontecido com o anterior. Se for a sentença, é a decisão que estava sendo esperada!"
848,Transitado em Julgado em #{data},2,Não cabem mais recursos
106,Mandado devolvido #{resultado},2,O aviso enviado pelo juiz foi #{resultado}
112,Ofício Devolvido #{resultado},2,O pedido de informações enviado pelo juiz foi {resultado}
99100,Audiência Conciliação designada,1,A audiência inicial para tentar fazer acordo foi marcada.
99101,Juntada de Petição de contestação,1,O réu apresentou resposta.
99103,Audiência Conciliação cancelada,1,A audiência para tentar o acordo foi cancelada.
99104,Audiência Instrução e Julgamento designada,1,Audiência com o Juiz marcada
